基金代码,基金代码,总市值,一致预期PE,每股一致预期增速,静态pe,毛利率,净利率,roe,roic,经营现金流净额/净利润,资产负债率,静态pb,总市值排名,一致预期PE排名,每股一致预期增速排名,静态pe排名,毛利率排名,净利率排名,roe排名,roic排名,经营现金流净额/净利润排名,资产负债率排名,静态pb排名,股票个数,前十大股票占比,前三大行业占比,股票个数排名,前十大股票占比排名,前三大行业占比排名,换手率,换手率排名,交易效率,交易效率排名
000058.OF,000058.OF,6230.546033,17.41574712,15.73789202,11.34384615,12.09710779,12.82509113,9.43809301,4.61881987,30.82475878,36.77833178,1.98393337,0.9369291,0.086994345,0.198347107,0.12092214,0.093953893,0.359286646,0.224880383,0.115702479,0.13092649,0.315789474,0.139625924,70,26.33,35.73,0.853414528,0.139190953,0.295345803,0.73111877,0.074815137,19.60084572852643,0.9756415832970857
000061.OF,000061.OF,1184.403464,34.18061429,39.60046674,18.35401016,27.65217095,11.92515039,11.61531977,9.54693323,58.83070098,40.2626337,4.40398439,0.32231405,0.669856459,0.711178773,0.24184428,0.423662462,0.300130492,0.380600261,0.418877773,0.494127882,0.466289691,0.523705959,95,29.81,31.77,0.911483254,0.187907786,0.199217051,4.91656629,0.80600261,1.20942260904612,0.6189647672901262
000063.OF,000063.OF,714.9864449,41.31284431,28.9688705,23.98048644,26.61185272,10.52454045,9.8076585,10.06971647,34.43413705,35.85598611,6.25106379,0.163984341,0.850369726,0.501087429,0.389734667,0.387559809,0.202261853,0.251413658,0.479773815,0.155284906,0.285776425,0.832535885,60,38.97,74.74,0.785558939,0.359721618,0.915180513,6.766122287,0.90691605,-1.1803997328492273,0.3866898651587647
000066.OF,000066.OF,6772.342203,21.09458154,18.96814929,18.12441545,15.31567887,15.74013372,11.1657812,5.30002936,35.0801997,43.32797805,2.65237957,0.960417573,0.197042192,0.257938234,0.237059591,0.128316659,0.602870813,0.342757721,0.137451066,0.160939539,0.613745107,0.207916485,55,36.21,43.4,0.734884732,0.291431057,0.5215311,1.392232791,0.23183993,7.940798601690167,0.8916920400173989
000072.OF,000072.OF,4125.877775,24.93243667,5.36843753,6.02268398,8.25697401,10.93190669,4.07530311,2.25642467,21.61666269,18.63673391,0.85263484,0.829926055,0.321444106,0.046976946,0.047411918,0.047411918,0.227490213,0.038712484,0.039147455,0.066115702,0.043062201,0.036972597,108,11.03,18.99,0.93062201,0.018703784,0.051326664,0.219801798,0.009134406,14.148636036180196,0.9560678555893867
000073.OF,000073.OF,1179.800697,56.75544613,48.3084078,53.29370245,40.8229632,18.63707638,17.45209407,15.95880982,78.73811866,35.39733879,9.57912536,0.319269247,0.971726838,0.815137016,0.93953893,0.87646803,0.819051762,0.873423227,0.920400174,0.918660287,0.273162244,0.979556329,40,46.36,48.89,0.494780339,0.551979121,0.637451066,5.164131231,0.827316224,-3.8127085659260627,0.2379295345802523
000082.OF,000082.OF,3438.412084,24.9317228,39.63186155,24.33146745,26.19899371,17.51119729,14.61418314,9.83881369,58.9388448,49.897306,4.09450583,0.754240974,0.320574163,0.712048717,0.40060896,0.367551109,0.739886907,0.66246194,0.454545455,0.497607656,0.84384515,0.460200087,170,27.14,31.91,0.970856894,0.150065246,0.203566768,1.629775916,0.293605916,-0.6513345973385958,0.43410178338408
000083.OF,000083.OF,3787.414433,36.70586507,26.00484559,37.35437826,45.72279315,22.80308155,19.52152283,16.67940996,82.60964064,37.23436464,6.62387137,0.798173119,0.747281427,0.42322749,0.771639843,0.935189213,0.966507177,0.958677686,0.943018704,0.966072205,0.330578512,0.871683341,45,53.64,58.94,0.588299261,0.730100043,0.785558939,0.956096531,0.121357112,-17.251800916742365,0.033927794693344934
000117.OF,000117.OF,3241.752563,44.0013047,23.14955824,39.08886087,45.94818328,22.80007455,18.99720954,15.38915601,75.51419416,39.57195165,7.01081699,0.726402784,0.884732492,0.355371901,0.803392779,0.936059156,0.966072205,0.942583732,0.892127012,0.862548934,0.434101783,0.903871248,60,40.29,56.7,0.785558939,0.392779469,0.752501087,1.305303962,0.208351457,-10.975026865045246,0.07568508046976946
000120.OF,000120.OF,1511.530912,26.7875891,55.43013151,30.9606696,27.76452544,13.96855425,13.56731112,11.47903287,46.86059704,41.77089731,4.2885214,0.401913876,0.387124837,0.865158765,0.618529796,0.428882123,0.4584602,0.563288386,0.632883863,0.288821227,0.535885167,0.504132231,47,39.75,43.56,0.621574598,0.380600261,0.527620705,2.973830024,0.588951718,-4.7927954371880395,0.2035667681600696
000124.OF,000124.OF,619.1731778,28.50642331,50.92098719,39.2427865,36.82255587,11.00417833,10.02415938,11.01904177,47.86583819,33.68923316,5.81564191,0.13353632,0.44845585,0.836015659,0.806437582,0.785123967,0.232709874,0.270552414,0.580687255,0.30230535,0.217485863,0.775989561,32,48.94,50.55,0.297085689,0.618964767,0.665506742,7.194869876,0.921270117,-2.244349047070939,0.3183993040452371
000126.OF,000126.OF,1100.06058,42.07473116,54.53739906,46.78384387,37.64939773,14.60379498,12.60800279,12.47792694,51.50454494,38.07073883,7.67075392,0.297085689,0.858634189,0.860374076,0.898216616,0.807307525,0.512831666,0.466724663,0.71291866,0.357981731,0.363201392,0.93953893,42,55.79,57.84,0.535450196,0.767725098,0.769682471,4.785203102,0.794258373,-3.662610314842181,0.24401913875598086
000127.OF,000127.OF,1992.671361,40.58872897,33.15410668,36.18593729,34.68029474,17.64392515,16.0439542,13.18216037,61.1427315,44.64637306,6.38270837,0.507177033,0.8338408,0.59199652,0.747281427,0.715963462,0.750761201,0.784688995,0.765550239,0.544584602,0.675946064,0.845585037,43,51.27,39.35,0.551326664,0.675946064,0.404523706,3.618633467,0.682470639,-5.420426812738589,0.1800782949108308
000136.OF,000136.OF,2138.505128,48.27680087,53.42205845,69.38961259,25.98620914,14.48122278,11.91062454,11.10971628,65.02546945,37.08177439,6.39269796,0.531970422,0.929969552,0.852979556,0.98999565,0.355806873,0.503262288,0.407568508,0.588516746,0.631143976,0.325358852,0.846889952,31,49.44,50.21,0.275119617,0.628099174,0.661157025,5.870627678,0.868203567,-1.5757363620020053,0.35841670291431055
000165.OF,000165.OF,3482.459357,22.69211761,24.5759893,18.87460721,19.26834965,12.05136034,10.80068374,7.41528359,44.52356276,40.8476517,2.97680216,0.761200522,0.253588517,0.389299696,0.250978686,0.173553719,0.310134841,0.317094389,0.227925185,0.256198347,0.492822967,0.248803828,41,31.3,25.77,0.516963897,0.209656372,0.106133101,4.238105423,0.748586342,1.7353333968728881,0.6637668551544149
