日期,小盘价值,小盘成长,大盘价值,大盘成长
2018/6/20,-4.6099,-4.9802,-2.5648,-4.3788
2018/6/21,0.3279,-0.9159,-1.053,-1.6547
2018/6/22,-0.0254,-0.8244,-0.7351,-1.0103
2018/6/25,0.6785,0.5335,-2.0653,-0.3324
2018/6/26,-0.8927,-0.0487,-3.4272,-1.1626
2018/6/27,-1.5462,-0.4785,-3.389,-1.9742
2018/6/28,-2.4904,-2.2858,-2.8186,-2.6099
2018/6/29,1.12,2.405,1.178,2.5113
2018/7/2,0.4696,2.1694,-1.9824,0.0769
2018/7/3,-1.5568,-0.4853,-3.7591,-2.7978
2018/7/4,-0.6549,-0.9111,-0.5975,-2.2921
2018/7/5,-3.559,-4.259,-0.4916,-3.4184
2018/7/6,-2.4409,-2.4796,1.1919,-0.0486
2018/7/9,2.4679,2.4425,3.7504,4.1528
2018/7/10,3.0097,2.863,2.8721,3.5438
2018/7/11,-1.1458,-1.678,-1.6897,-1.461
2018/7/12,0.606,0.6108,-0.236,0.7248
2018/7/13,3.1732,3.4981,1.2202,3.1219
2018/7/16,0.5755,0.7483,-1.5253,-0.0042
2018/7/17,-0.4526,0.0153,-1.9866,-1.1034
2018/7/18,-0.5688,-0.3967,-1.0758,-1.5973
2018/7/19,-0.909,-1.5935,-0.0614,-0.8028
2018/7/20,0.3324,-0.1595,3.161,1.7579
2018/7/23,1.8275,1.7101,4.5278,2.8252
2018/7/24,2.8655,1.9258,3.0692,2.7669
2018/7/25,1.9635,1.5243,1.3369,0.7921
2018/7/26,-0.2731,-0.6835,-0.9596,-2.1369
2018/7/27,-0.4822,-1.3348,-1.4416,-2.018
2018/7/30,-1.2151,-2.2399,0.4736,-1.1059
2018/7/31,-0.8329,-1.8582,1.1183,-0.4956
2018/8/1,-1.8439,-1.9567,-2.0191,-2.15
2018/8/2,-3.748,-4.0109,-4.2003,-4.7936
2018/8/3,-2.9947,-3.7744,-3.1158,-4.9054
2018/8/6,-2.8937,-3.7537,-1.3271,-3.9153
2018/8/7,0.8467,0.1574,2.7253,1.3162
2018/8/8,1.3494,0.4007,1.6635,1.034
2018/8/9,0.562,0.8215,0.7203,0.929
2018/8/10,2.2429,3.5676,1.7828,3.5309
2018/8/13,0.3833,1.4087,-1.2848,0.5447
2018/8/14,-0.3178,0.0783,-1.5569,-0.8756
2018/8/15,-2.5724,-2.834,-2.7096,-3.2876
2018/8/16,-3.2907,-3.4484,-2.5026,-2.6855
2018/8/17,-2.5466,-3.0778,-1.3761,-2.0115
2018/8/20,-1.2209,-2.0367,0.3844,-0.5588
2018/8/21,1.5889,1.2479,2.9777,2.9458
2018/8/22,0.3292,0.0106,1.369,0.7027
2018/8/23,-0.6846,-0.5127,0.0402,-0.7535
2018/8/24,0.1557,0.6705,0.8192,-0.0418
2018/8/27,1.9505,2.3849,2.5877,2.2621
2018/8/28,2.113,2.6269,1.778,2.3984
2018/8/29,-0.6092,-0.9457,-0.619,-0.8623
2018/8/30,-1.6854,-2.6091,-1.2609,-1.9713
2018/8/31,-1.9461,-3.0255,-0.6905,-2.3954
2018/9/3,-0.7197,-1.1872,-0.3206,-1.8383
2018/9/4,1.124,1.6178,0.9485,0.3834
2018/9/5,-0.6875,-0.1497,-0.9742,-0.8276
2018/9/6,-2.2802,-2.311,-3.2807,-3.1887
2018/9/7,-0.2294,-0.3495,-0.0681,-1.5216
2018/9/10,-0.8493,-1.7265,0.196,-2.4941
2018/9/11,-1.7122,-2.1476,-1.4697,-2.176
2018/9/12,-0.8174,-0.38,-1.2432,-0.5083
2018/9/13,0.1889,-0.1788,1.0533,0.2879
2018/9/14,0.2381,-1.0001,2.0203,1.0232
2018/9/17,-1.707,-2.8765,-0.6056,-1.0488
2018/9/18,0.5493,-0.1511,1.0248,0.3072
2018/9/19,3.1278,2.8306,3.2812,2.7457
2018/9/20,1.343,1.2399,1.1766,1.3383
2018/9/21,1.7732,1.327,3.5654,2.7361
2018/9/25,1.3883,0.9625,2.4891,1.592
2018/9/26,0.2076,0.2324,-0.0558,0.0835
2018/9/27,-0.4035,-0.6002,0.7373,0.3688
2018/9/28,0.0364,-0.496,0.744,0.0604
2018/10/8,-1.9319,-2.7635,-3.0924,-3.55
2018/10/9,-2.6641,-3.7516,-4.0505,-4.2527
2018/10/10,0.0779,-0.571,0.3507,-0.1589
2018/10/11,-6.4451,-6.9622,-3.5415,-5.3525
2018/10/12,-6.234,-6.9437,-1.9947,-4.3641
2018/10/15,-1.7329,-1.697,0.3561,-0.4081
2018/10/16,-4.1851,-3.9482,-1.7977,-2.8205
2018/10/17,-1.6037,-1.8144,0.6205,-0.8597
2018/10/18,-1.8641,-2.3643,-1.6266,-0.7257
2018/10/19,-0.2124,-0.3292,0.5672,0.9077
2018/10/22,7.4278,7.9683,6.2226,8.0874
2018/10/23,2.8056,3.4306,0.4551,3.3814
2018/10/24,-1.7904,-1.8075,-1.7485,-2.1867
2018/10/25,0.1191,-0.6456,1.3772,0.2335
2018/10/26,-0.0394,-0.4515,0.3865,-0.6878
2018/10/29,-2.0893,-1.5699,-3.3916,-4.3917
2018/10/30,-1.228,-0.314,-2.2293,-2.2473
2018/10/31,2.6035,2.9119,2.1977,2.3672
2018/11/1,2.2537,2.6327,1.4412,2.776
2018/11/2,3.2407,4.6342,3.1635,5.851
2018/11/5,2.8023,3.7517,1.9183,3.7199
2018/11/6,0.0874,-0.2105,-1.3003,-1.9003
2018/11/7,-0.6182,-0.5697,-0.9027,-2.1874
2018/11/8,-1.1803,-0.8588,-0.3765,-1.8767
2018/11/9,-0.8759,-0.5747,-2.2011,-1.9596
2018/11/12,2.0092,2.806,-1.7788,1.3389
2018/11/13,4.2275,5.0235,1.2259,3.7893
2018/11/14,1.5167,1.7497,-0.3554,0.3957
2018/11/15,0.9656,0.8977,0.0794,0.1347
2018/11/16,2.2762,1.7878,1.2682,2.448
2018/11/19,1.5986,0.4773,1.2464,2.4724
2018/11/20,-2.1517,-2.4534,-0.7887,-2.1813
2018/11/21,-2.2831,-1.7963,-1.7916,-3.2801
2018/11/22,0.4193,0.5137,-0.5199,-0.168
2018/11/23,-3.6523,-3.9182,-2.0693,-2.9681
2018/11/26,-3.6149,-4.3192,-1.2238,-2.9884
2018/11/27,0.1711,-0.0009,-0.1198,-0.3605
2018/11/28,1.495,1.7586,0.5604,1.9713
2018/11/29,-0.4723,-0.8578,0.0804,0.0156
2018/11/30,-1.014,-1.3743,-0.091,-0.7068
2018/12/3,3.5604,4.1491,3.1164,4.6799
2018/12/4,3.3239,4.0488,2.4092,3.4953
2018/12/5,-0.1348,0.2732,-0.4443,-0.2855
2018/12/6,-2.3924,-2.6354,-2.1328,-3.0037
2018/12/7,-1.7303,-2.3461,-1.4561,-2.5699
2018/12/10,-1.0337,-0.939,-0.9059,-1.4387
2018/12/11,-0.297,0.129,-0.8175,-1.0344
2018/12/12,1.0744,0.7166,0.7363,0.873
2018/12/13,1.4376,0.7836,2.058,2.2076
2018/12/14,-0.7841,-1.644,0.2248,-0.2276
2018/12/17,-1.9813,-3.3546,-1.1181,-2.34
2018/12/18,-0.6886,-0.9316,-0.8586,-1.5964
2018/12/19,-1.7859,-1.8725,-1.8471,-2.7281
2018/12/20,-1.0944,-1.3446,-2.1035,-1.2737
2018/12/21,-0.7263,-0.5064,-2.1702,-1.4367
2018/12/24,0.1491,0.2025,-0.9787,-1.514
2018/12/25,-0.1382,0.3049,-0.5653,-0.7772
2018/12/26,-1.3164,-1.1674,-0.8789,-1.4544
2018/12/27,-1.1477,-1.7423,-0.6087,-1.0268
2018/12/28,-0.5217,-0.9361,0.0627,0.2099
2019/1/2,-0.5539,-0.702,-1.3732,0.051
2019/1/3,-1.4394,-1.8237,-1.2633,-1.0404
2019/1/4,1.65,1.5417,2.188,2.729
2019/1/7,3.5678,4.2179,1.8609,4.2523
2019/1/8,1.3554,1.7499,-0.2691,0.9084
2019/1/9,0.2155,0.3814,0.9226,1.2024
2019/1/10,0.0378,0.1687,0.9979,1.4638
2019/1/11,0.3983,0.3188,0.5458,0.7226
2019/1/14,0.2057,-0.4901,-0.0905,-0.0378
2019/1/15,0.5435,0.2323,0.5759,1.8763
2019/1/16,0.9167,1.2202,1.6998,2.5663
2019/1/17,-0.631,-0.9502,-0.2122,-0.8629
2019/1/18,0.3176,-0.1112,1.4924,1.1212
2019/1/21,1.2599,1.2383,2.5642,2.4233
2019/1/22,-0.9302,-0.8732,-0.5035,-1.1975
2019/1/23,-0.8299,-1.3202,-1.1426,-1.6695
2019/1/24,0.6129,0.5031,0.5456,0.651
2019/1/25,-0.072,0.0903,1.7967,1.5293
2019/1/28,-0.6247,-0.9433,1.3358,0.7922
2019/1/29,-1.0824,-1.9709,0.8845,0.1126
2019/1/30,-1.3547,-2.4468,0.2288,-1.0057
2019/1/31,-1.4785,-2.19,1.1004,-0.2654
2019/2/1,1.4549,1.8277,2.1167,3.2676
2019/2/11,4.4463,5.9112,1.1987,5.7229
2019/2/12,3.1521,4.2079,1.0617,4.1189
2019/2/13,2.24,3.0657,1.9034,3.2654
2019/2/14,1.4369,1.945,1.2764,3.1045
2019/2/15,-0.3694,-0.0318,-2.5715,-1.1897
2019/2/18,2.4324,3.1563,0.1482,2.0475
2019/2/19,3.25,3.866,2.4001,3.7028
2019/2/20,0.2087,0.5769,0.4146,0.3011
2019/2/21,-0.5074,0.2381,-0.0906,0.8638
2019/2/22,1.3389,2.343,0.5711,3.2669
2019/2/25,7.1086,7.846,7.4377,8.5595
2019/2/26,5.447,5.2881,4.2413,4.8284
2019/2/27,0.0474,-1.008,-1.3814,-1.7201
2019/2/28,-0.1126,-0.2838,-0.0429,-1.4582
2019/3/1,1.132,1.3824,2.0469,2.0028
2019/3/4,2.4621,3.088,3.4362,4.0679
2019/3/5,3.5583,5.1662,0.8359,2.7626
2019/3/6,4.0291,5.0689,0.579,1.9321
2019/3/7,3.0329,3.2446,-1.3369,-0.2179
2019/3/8,-3.8261,-2.6162,-5.5373,-4.3847
2019/3/11,-1.4945,0.536,-2.8329,-0.9138
2019/3/12,5.2659,6.6564,1.4932,3.1786
2019/3/13,0.0045,-0.5465,0.7877,-1.3786
2019/3/14,-3.4267,-5.3631,0.2437,-2.8479
2019/3/15,0.1399,-1.612,1.1465,0.8214
2019/3/18,4.7488,3.871,3.3288,5.1151
2019/3/19,2.772,3.1583,1.9333,2.369
2019/3/20,0.248,-0.292,0.0108,-1.3342
2019/3/21,0.9658,0.5248,-0.1893,-0.3908
2019/3/22,1.5431,1.3942,-0.7918,-0.2743
2019/3/25,-0.7995,-0.7085,-2.9018,-2.9454
2019/3/26,-3.8454,-3.5457,-3.0357,-3.9355
2019/3/27,-1.1995,-1.8905,0.733,-0.2238
2019/3/28,-0.2276,-0.6567,0.3645,0.9698
2019/3/29,1.4109,1.6258,2.5789,4.3516
2019/4/1,6.5928,7.3483,5.9789,7.6238
2019/4/2,4.122,4.7525,2.6389,2.4989
2019/4/3,2.0289,1.542,1.3668,0.5106
2019/4/4,2.7627,1.4114,2.4665,2.2094
2019/4/8,1.8986,0.0203,1.8222,0.9023
2019/4/9,0.1197,-0.2145,0.4199,0.6699
2019/4/10,-0.6466,-0.0135,-0.1788,1.8758
2019/4/11,-1.9282,-2.4469,-1.6405,-1.7265
2019/4/12,-1.9601,-2.6401,-1.7748,-2.9005
2019/4/15,-1.0193,-1.552,0.022,-0.9967
2019/4/16,0.6849,0.6657,3.4216,1.6697
2019/4/17,2.3242,2.5912,2.8789,2.9629
2019/4/18,0.14,0.297,-0.8973,0.3085
2019/4/19,-0.0459,0.1293,0.8082,1.4584
2019/4/22,-0.7483,-0.2618,-1.4118,-0.5481
2019/4/23,-2.8268,-2.4613,-2.7513,-2.4173
2019/4/24,-0.8702,-0.2934,0.0164,0.4492
2019/4/25,-3.3619,-2.5148,-1.8617,-1.9772
2019/4/26,-5.4428,-4.9559,-3.4039,-4.2536
2019/4/29,-3.9207,-4.4974,-0.0248,-2.1983
2019/4/30,-0.929,-2.2356,1.8705,-0.2376
2019/5/6,-5.5068,-6.6318,-4.2151,-6.8789
2019/5/7,-5.6672,-6.276,-4.0849,-5.7826
2019/5/8,0.6184,1.1754,-1.2539,-0.0551
2019/5/9,-2.0844,-1.5484,-3.4688,-3.0479
2019/5/10,1.785,2.4805,1.1352,2.4952
2019/5/13,2.3083,2.7683,1.1424,1.9589
2019/5/14,-1.7897,-1.7213,-2.2526,-2.8378
2019/5/15,0.9792,1.3098,1.2803,1.7888
2019/5/16,2.8435,2.5325,2.11,2.9278
2019/5/17,-2.5322,-3.1565,-1.4835,-2.5569
2019/5/20,-4.3277,-4.5581,-2.3878,-4.1095
2019/5/21,0.4538,0.7725,0.3367,0.5528
2019/5/22,0.3557,0.9798,0.5302,1.2677
2019/5/23,-2.9135,-3.2208,-1.7938,-2.9265
2019/5/24,-2.0589,-3.3104,-0.8424,-2.0357
2019/5/27,1.7991,1.8693,1.1745,1.9574
2019/5/28,2.1768,2.7122,1.5306,2.9845
