基金代码,基金代码,总市值,一致预期PE,每股一致预期增速,静态pe,毛利率,净利率,roe,roic,经营现金流净额/净利润,资产负债率,静态pb,总市值排名,一致预期PE排名,每股一致预期增速排名,静态pe排名,毛利率排名,净利率排名,roe排名,roic排名,经营现金流净额/净利润排名,资产负债率排名,静态pb排名,股票个数,前十大股票占比,前三大行业占比,股票个数排名,前十大股票占比排名,前三大行业占比排名,换手率,换手率排名,交易效率,交易效率排名
000001.OF,000001.OF,3255.076397,20.08144325,20.12448579,17.28610493,20.32634446,14.40179152,6.10075064,3.62490423,45.27942631,36.89035706,2.7202758,0.717652718,0.185666186,0.275613276,0.352573353,0.247234247,0.502164502,0.445406445,0.276094276,0.262626263,0.399230399,0.291005291,80,34.35,27.03,0.893939394,0.313612314,0.173641174,1.405064519,0.479076479,10.736611704305659,0.6859066859066859
000011.OF,000011.OF,1680.846232,30.38868599,29.17228847,20.53477804,33.28986708,14.51677653,8.4153394,6.47715953,65.20551091,46.28018165,3.4845634,0.43049543,0.57960558,0.525252525,0.475228475,0.700817701,0.508417508,0.781625782,0.76046176,0.70995671,0.76960077,0.434824435,31,50.82,35.91,0.382395382,0.688792689,0.345839346,0.575132754,0.164021164,35.290607879376665,0.9312169312169312
000017.OF,000017.OF,2514.426261,40.21823403,35.58173162,30.19735096,39.74860527,17.570873,7.62055533,6.2800692,50.43937108,43.41294071,6.69747062,0.581048581,0.831168831,0.665704666,0.758537759,0.873496873,0.711880712,0.678691679,0.736411736,0.341991342,0.677729678,0.901875902,37,44.27,44.38,0.53006253,0.525733526,0.56950457,1.6964182,0.572871573,8.432760111863924,0.6132756132756133
000020.OF,000020.OF,567.4940778,32.31393622,42.62201069,22.54195369,32.60195473,13.66811193,7.22258169,6.73672448,68.77484552,34.244357,4.85861825,0.17027417,0.649350649,0.775853776,0.542568543,0.681096681,0.447811448,0.617123617,0.790764791,0.781144781,0.311207311,0.682539683,46,32.9,44.61,0.679172679,0.285233285,0.572871573,1.476271615,0.501683502,0.629055588798272,0.18807118807118808
000021.OF,000021.OF,1645.352076,39.58039307,35.69199906,23.31568357,30.68606588,13.66969557,5.56000897,4.51755357,55.59481784,43.80680366,4.32212862,0.424723425,0.82010582,0.667628668,0.565656566,0.614237614,0.448292448,0.374699375,0.427609428,0.453583454,0.694083694,0.602212602,135,25.89,39.01,0.95045695,0.165945166,0.424723425,1.554194842,0.533910534,1.467724192846085,0.23953823953823955
000029.OF,000029.OF,1472.17095,28.54892394,30.19537114,19.04503404,19.19444685,10.83338894,4.09526463,3.41972972,32.68464933,31.81101332,3.49349438,0.377104377,0.504569505,0.551226551,0.422799423,0.227032227,0.258297258,0.198172198,0.242424242,0.134680135,0.245310245,0.436748437,76,22.61,30.17,0.885762386,0.129389129,0.228956229,3.621744542,0.886483886,2.3567661553750745,0.3059163059163059
000030.OF,000030.OF,2044.482441,13.27176872,29.29555475,5.17581048,20.15773305,14.23071971,6.46219744,3.53550771,44.86025432,45.5668317,2.08794974,0.498316498,0.03992304,0.527657528,0.111111111,0.244829245,0.491101491,0.493506494,0.260702261,0.258297258,0.747474747,0.193362193,45,34.71,35.64,0.664021164,0.31986532,0.340788841,0.116806674,0.021645022,-10.533941408176723,0.025012025012025013
000031.OF,000031.OF,449.8866387,38.68969818,87.71717273,9.18243067,32.20602476,9.46458396,5.56171426,5.41236838,61.61745427,47.83133061,6.61529411,0.123136123,0.803270803,0.947570948,0.179413179,0.667147667,0.185666186,0.375180375,0.610870611,0.617604618,0.813852814,0.895141895,36,55.2,51.84,0.511303511,0.769119769,0.721019721,2.162849845,0.689273689,-4.127599667003236,0.059644059644059645
000039.OF,000039.OF,774.1463349,41.50592931,74.12589376,12.29238107,28.43318081,9.68711785,4.24990547,4.33716616,48.30399311,34.29434524,5.68505028,0.22991823,0.857142857,0.927368927,0.233285233,0.517556518,0.194805195,0.208754209,0.393458393,0.305435305,0.312650313,0.806637807,52,27.99,40.23,0.770562771,0.197210197,0.461279461,2.377273345,0.735449735,-0.4766126210867012,0.1317941317941318
000056.OF,000056.OF,3145.805309,33.19854551,30.24312591,12.84088524,37.27104261,18.26470038,9.05308327,7.73931188,63.36713924,32.65769036,5.01946336,0.702260702,0.674843675,0.552669553,0.242424242,0.811928812,0.76046176,0.863876864,0.88985089,0.667147667,0.267917268,0.707070707,41,43.1,44.89,0.606060606,0.498316498,0.578643579,2.67388843,0.781625782,7.1062231717723545,0.5646945646945647
