基金代码,基金代码,基金代码.1,总市值,一致预期PE,每股一致预期增速,静态pe,毛利率,净利率,roe,roic,经营现金流净额/净利润,资产负债率,静态pb,总市值排名,一致预期PE排名,每股一致预期增速排名,静态pe排名,毛利率排名,净利率排名,roe排名,roic排名,经营现金流净额/净利润排名,资产负债率排名,静态pb排名,股票个数,前十大股票占比,前三大行业占比,股票个数排名,前十大股票占比排名,前三大行业占比排名,换手率,换手率排名,交易效率,交易效率排名
000058.OF,000058.OF,000058.OF,5282.082812,29.76593702,8.22527457,14.53092555,11.2240874,6.77323333,5.36126892,3.84839798,24.37177878,16.57572931,2.26294808,0.801464255,0.250215332,0.1042205,0.086993971,0.079242033,0.108096469,0.082256675,0.081395349,0.085701981,0.073212748,0.099483204,63,12.34,11.6,0.80211025,0.048664944,0.046080965,0.381011581,0.022394488,31.625160338630234,0.8979328165374677
000061.OF,000061.OF,000061.OF,1111.196658,55.27894403,24.60960777,71.11554462,29.27242481,13.20322465,8.4520655,8.49016116,44.64222778,37.01217757,4.86502475,0.140826873,0.869509044,0.350559862,0.698535745,0.392764858,0.343669251,0.167958656,0.246339363,0.174849268,0.464254953,0.246770026,59,40.45,49.7,0.761627907,0.31416882,0.566537468,4.180424325,0.441429802,2.0762955014142017,0.19853574504737295
000063.OF,000063.OF,000063.OF,2489.728701,54.31509733,51.61667134,82.29591875,35.89536439,18.01818814,18.60058743,16.82322169,81.5248218,41.22793759,13.96924595,0.397932817,0.851851852,0.782945736,0.82213609,0.66580534,0.686477175,0.878983635,0.867355728,0.946167097,0.688199828,0.919896641,66,44.45,47.09,0.823643411,0.396640827,0.506890612,8.030691385,0.557278208,0.2238267546126103,0.082687338501292
000066.OF,000066.OF,000066.OF,8003.130083,24.41872054,5.80167882,35.58854609,19.61424803,16.50336116,13.0166895,8.17106262,43.55982346,44.15439442,5.98913635,0.958225668,0.12833764,0.062446167,0.242463394,0.156330749,0.571490095,0.439707149,0.228251507,0.164944014,0.79672696,0.322566753,60,46.76,42.64,0.771533161,0.448751077,0.421619294,0.579398479,0.041774332,46.62551162824161,0.9513350559862188
000072.OF,000072.OF,000072.OF,1719.256297,45.81214323,11.29132524,14.07222901,8.70428263,4.58162787,3.64913886,3.12002287,16.50264876,9.11153962,2.25339462,0.260551249,0.677433247,0.1416882,0.080534022,0.052540913,0.056416882,0.032299742,0.051679587,0.043496985,0.014211886,0.098191214,171,5.52,9.95,0.969422911,0.005167959,0.031007752,1.121058759,0.109819121,2.7759808261754095,0.24332472006890613
000073.OF,000073.OF,000073.OF,3363.952113,49.71243151,65.22126173,89.08073523,41.73194196,19.22085144,17.63647941,16.56871555,77.03961104,33.72832547,13.80725516,0.538329027,0.767011197,0.891903531,0.88501292,0.829888028,0.766580534,0.822997416,0.852282515,0.848406546,0.304909561,0.914298019,36,50.65,49.09,0.349483204,0.567614126,0.550387597,4.367965251,0.453057709,2.6271550712022815,0.2347114556416882
000082.OF,000082.OF,000082.OF,3729.368002,35.50515155,22.82207986,48.42527631,29.75412079,16.33362272,14.72924378,10.98194079,59.45192909,46.97524713,8.20862845,0.58957795,0.411283376,0.314814815,0.394918174,0.414298019,0.559862188,0.586132644,0.419035314,0.363479759,0.869939707,0.52670112,177,23.92,28.63,0.971145564,0.129198966,0.146425495,1.488051112,0.167527993,15.954397768025052,0.7459086993970715
000083.OF,000083.OF,000083.OF,5891.901723,46.46171218,27.61396008,73.80141933,54.18688862,22.51304992,22.40739858,21.53302321,86.29918654,34.21630854,15.43327602,0.87037037,0.69379845,0.402670112,0.736003445,0.978897502,0.920327304,0.974160207,0.981050818,0.98794143,0.324289406,0.957795004,33,64.62,77.02,0.274547804,0.878552972,0.89707149,0.862846978,0.072782084,36.58221545048976,0.9198966408268734
000117.OF,000117.OF,000117.OF,5536.990646,49.5219513,20.23978755,73.32821609,51.39226516,24.59426632,20.60016272,18.06238353,79.21550836,33.04923708,13.42980471,0.838070629,0.761412575,0.269595177,0.730835487,0.952196382,0.966838932,0.944013781,0.920327304,0.906115418,0.284237726,0.903531438,63,42.04,64.07,0.80211025,0.348837209,0.800172265,0.692142235,0.054263566,53.96910189998736,0.9633936261843239
000120.OF,000120.OF,000120.OF,2352.86499,36.16509601,34.01129641,51.42602665,27.91943779,13.6346719,17.18244526,15.03806781,71.60843266,37.57370074,9.31760861,0.379414298,0.431524548,0.518949182,0.430663221,0.349267873,0.367786391,0.788975022,0.75538329,0.692937123,0.499138674,0.62704565,31,57.55,58.11,0.225452196,0.745478036,0.713608958,2.617165651,0.315676141,12.026632233986934,0.6550387596899225
000124.OF,000124.OF,000124.OF,2255.068,40.23640317,46.159632,66.72891644,28.76275505,11.69260276,14.29831029,13.56504897,70.58071225,39.01299787,9.91695243,0.363910422,0.541774332,0.721360896,0.643410853,0.379414298,0.260120586,0.552971576,0.647717485,0.658914729,0.587424634,0.689491817,41,64.75,49.87,0.468130922,0.881136951,0.569982773,1.815686392,0.21791559,14.951807398906805,0.7260981912144703
000126.OF,000126.OF,000126.OF,1949.494891,50.5384487,54.20962753,88.16288573,36.44130021,15.57875621,15.23488766,13.43855367,75.31239436,40.61260375,11.82535952,0.302756245,0.785529716,0.811369509,0.877260982,0.683462532,0.499569337,0.628768303,0.636089578,0.799310939,0.661929371,0.82213609,42,62.24,58.26,0.486864772,0.837209302,0.716192937,2.697472896,0.322566753,9.964989776119701,0.5917312661498708
000127.OF,000127.OF,000127.OF,5317.099532,40.548569,15.86639845,63.18802762,41.99147763,20.43424958,17.84789226,15.14675023,66.14435701,35.680782,9.66580184,0.80620155,0.551248923,0.199827735,0.594745909,0.83290267,0.838070629,0.840654608,0.764857881,0.524978467,0.396640827,0.658484065,41,54.83,58.14,0.468130922,0.678294574,0.714039621,2.772385099,0.33161068,8.390801648872952,0.5391903531438416
000136.OF,000136.OF,000136.OF,4236.155446,55.48457165,54.44485933,83.97819924,38.52826498,17.148434,15.51561176,14.45225487,69.61910389,34.2983524,12.44579346,0.666666667,0.872093023,0.815245478,0.843669251,0.748923342,0.624031008,0.65374677,0.711024978,0.62833764,0.329026701,0.856158484,22,59.0,46.9,0.069336779,0.771317829,0.503014643,1.838164374,0.220930233,13.709505834433065,0.7019810508182601
000165.OF,000165.OF,000165.OF,4083.341747,34.9990875,24.06604381,37.20652891,27.22813271,14.2863979,13.74403523,11.27799959,62.80978782,37.55776717,7.14663701,0.642549526,0.38630491,0.339362618,0.259689922,0.328165375,0.407407407,0.507751938,0.444875108,0.43712317,0.498277347,0.426356589,59,38.44,40.73,0.761627907,0.283591731,0.380706288,3.953500015,0.428509905,3.624790619862942,0.29931093884582255
000166.OF,000166.OF,000166.OF,477.8123099,40.91453967,63.95615976,71.00167563,39.43162777,18.46818972,11.3555907,11.61375335,72.66913299,30.43015528,7.92984495,0.031438415,0.562446167,0.884151593,0.697674419,0.776485788,0.716192937,0.326873385,0.470714901,0.725236865,0.204134367,0.50129199,25,54.75,87.66,0.105943152,0.674849268,0.952196382,5.91561888,0.518518519,0.6675297242948822,0.10981912144702842
000167.OF,000167.OF,000167.OF,6127.229603,39.55710843,13.03588338,62.94325952,49.85032167,22.25650014,19.46015807,18.39706288,77.67808651,35.10122682,12.82216705,0.892764858,0.527993109,0.160637382,0.590439276,0.939276486,0.913436693,0.914728682,0.930232558,0.867786391,0.368647717,0.875538329,26,64.93,64.22,0.120155039,0.884151593,0.802325581,3.052770251,0.360465116,16.16905641812742,0.751937984496124
000172.OF,000172.OF,000172.OF,4220.290124,25.14626819,36.82632087,37.27665221,27.44248962,20.1810663,17.08949536,12.6736749,59.37449322,51.59564086,6.90049729,0.664082687,0.1416882,0.565030146,0.260551249,0.338931955,0.824289406,0.779069767,0.569336779,0.362618432,0.939276486,0.403100775,214,23.41,37.4,0.980620155,0.12704565,0.303617571,3.377008194,0.388888889,4.809956966897428,0.3690783807062877
000173.OF,000173.OF,000173.OF,4782.850414,51.55629636,56.25427067,72.15824903,45.71542899,15.97684871,14.00151241,15.77812196,69.84620218,32.0075234,12.65034438,0.744186047,0.80749354,0.831180017,0.716192937,0.891472868,0.534883721,0.527131783,0.80749354,0.634797588,0.253229974,0.866925065,40,65.43,54.21,0.448966408,0.890180879,0.651593454,1.71799649,0.204995693,9.82492035824823,0.5882859603789836
000190.OF,000190.OF,000190.OF,9596.401109,28.55893089,2.78238269,7.36669956,9.62364636,5.08273794,3.8018034,3.19738824,15.15273756,7.88255711,1.70094893,0.981481481,0.219638243,0.027993109,0.026270457,0.064599483,0.068906115,0.035314384,0.052971576,0.034022394,0.007751938,0.055986219,29,13.21,12.87,0.180017227,0.055124892,0.052971576,0.210940615,0.006890612,41.59012995197724,0.9366925064599483
000195.OF,000195.OF,000195.OF,3908.029105,23.01202922,2.62278423,7.38161057,6.1894015,3.53880606,2.8818109,2.10476028,13.13301442,10.74658651,1.1498541,0.619293712,0.101205857,0.02670112,0.02670112,0.02411714,0.031438415,0.019379845,0.023686477,0.024547804,0.027131783,0.033161068,63,6.85,5.77,0.80211025,0.010335917,0.005167959,0.137007069,0.002153316,122.3572606315664,0.9948320413436692
000199.OF,000199.OF,000199.OF,5032.468956,30.669818,29.64865924,37.98323485,22.628545,14.96198337,11.33240832,8.77195869,38.47833134,40.18919375,5.83877689,0.773901809,0.276055125,0.433247201,0.269595177,0.209732989,0.44918174,0.323858742,0.260120586,0.136950904,0.645994832,0.313522825,161,24.28,26.54,0.965116279,0.131352283,0.125322997,4.100068313,0.435400517,6.756229115053771,0.47674418604651164
000209.OF,000209.OF,000209.OF,1090.387194,45.94445257,98.85671286,70.7276869,24.04176823,10.28526012,10.43558372,10.72451253,57.10064556,40.54831048,8.70354375,0.137381568,0.680878553,0.982773471,0.692937123,0.241171404,0.198105082,0.262273902,0.396640827,0.315676141,0.658484065,0.577950043,30,45.85,69.35,0.201550388,0.426787252,0.84496124,1.786829962,0.215331611,19.863517724021683,0.8130921619293713
000214.OF,000214.OF,000214.OF,3308.294944,36.29091772,17.17666121,18.05972956,11.83259734,6.0097803,5.46308647,4.43304124,22.85368496,15.44441279,2.70259311,0.530146425,0.436261843,0.218346253,0.111972438,0.086563307,0.092161929,0.086132644,0.097329888,0.07881137,0.067614126,0.123169681,101,11.86,11.74,0.916451335,0.043496985,0.047372954,0.388773631,0.022825151,40.202297001979545,0.9336778639104221
000219.OF,000219.OF,000219.OF,358.1627187,25.68913218,22.68558746,39.08179479,28.82277192,9.93297828,7.76907214,7.0107095,57.11090045,38.63982572,3.30736951,0.017657192,0.155469423,0.310938846,0.284237726,0.380706288,0.183893196,0.146425495,0.176571921,0.316537468,0.559862188,0.15374677,37,60.04,60.39,0.375107666,0.793281654,0.751076658,1.737677108,0.209732989,-8.692713842208251,0.007751937984496124
000220.OF,000220.OF,000220.OF,2338.006524,75.73946931,41.39736014,96.6563917,54.51708659,26.50001175,23.22873064,21.50244409,84.49944857,24.38194441,17.98081413,0.377260982,0.978036176,0.645564169,0.930663221,0.981912145,0.983634798,0.981912145,0.979758829,0.978466839,0.124031008,0.993109388,31,62.81,93.12,0.225452196,0.84754522,0.985788114,1.401562434,0.154608096,-4.693339319338519,0.015934539190353144
000242.OF,000242.OF,000242.OF,750.7159901,24.10212831,68.2003903,36.67654786,30.81041957,12.60116181,12.25546716,10.83111499,77.10814875,40.54243074,4.7992475,0.07622739,0.121877692,0.909991387,0.254091301,0.462101637,0.310077519,0.387596899,0.405254091,0.852713178,0.657192076,0.242894057,43,54.81,58.82,0.506244617,0.677648579,0.723944875,2.046545272,0.251507321,6.428747167240775,0.4582256675279931
000251.OF,000251.OF,000251.OF,4687.165444,16.37153292,19.79929174,22.16600295,13.08387236,24.50971457,12.92272474,2.75756488,35.89913368,75.16702879,3.16006212,0.732988803,0.037037037,0.261412575,0.138673557,0.095607235,0.964685616,0.431093885,0.037037037,0.127476314,0.995262705,0.144272179,50,60.26,75.44,0.638888889,0.798018949,0.885874246,1.343786522,0.146425495,16.554291604957772,0.7588285960378983
000259.OF,000259.OF,000259.OF,3338.748448,53.40839584,32.78027826,60.24026392,26.57316457,12.93571149,10.6007133,9.38125993,50.24018104,30.04758813,8.05629456,0.534453058,0.838501292,0.492678725,0.554694229,0.307062877,0.326873385,0.27002584,0.294573643,0.219638243,0.192937123,0.512919897,85,29.36,34.76,0.890180879,0.176141258,0.251076658,1.653932819,0.196382429,9.733820137708992,0.5857019810508183
000263.OF,000263.OF,000263.OF,2639.063164,43.50371612,38.36963673,75.18748016,38.06291031,19.03418713,16.03592878,14.46437586,77.62869743,38.08035428,10.79459473,0.427648579,0.623169681,0.593453919,0.751937984,0.731696813,0.752799311,0.693367786,0.712316968,0.866063738,0.523255814,0.754521964,48,36.34,35.74,0.608957795,0.253229974,0.26744186,1.323765064,0.142118863,44.22830821889706,0.9440137812230835
000264.OF,000264.OF,000264.OF,1770.588845,50.07474294,68.37069571,79.89023229,18.82215712,9.45569064,6.9269522,6.6693572,43.74303031,35.83295769,6.97375854,0.272609819,0.777347115,0.910852713,0.798018949,0.148148148,0.170973299,0.124892334,0.159776055,0.16838932,0.406546081,0.409560724,45,54.74,47.63,0.554048234,0.674418605,0.520241171,3.538152242,0.400086133,6.7922443513667226,0.4784668389319552
000270.OF,000270.OF,000270.OF,5367.059908,25.52738431,8.12544193,15.89451729,9.41690679,4.89344166,4.57106648,3.4489419,20.43860894,14.37167078,2.13928513,0.813522825,0.151593454,0.101205857,0.097329888,0.062015504,0.063307494,0.057708872,0.062015504,0.065891473,0.059000861,0.091300603,30,16.41,10.47,0.201550388,0.075581395,0.035960379,1.913816919,0.232127476,2.1451062529769596,0.20198105081826012
000273.OF,000273.OF,000273.OF,4869.178897,30.44520396,19.75345045,30.00459613,18.74926884,12.36538672,9.85794605,7.05527216,37.47225707,33.09730753,4.67902382,0.754952627,0.270887166,0.260120586,0.196813092,0.147717485,0.298449612,0.228682171,0.177433247,0.133074935,0.285099053,0.233419466,317,15.21,23.63,0.994832041,0.067183463,0.101205857,1.538193837,0.173557278,16.262322750419393,0.7536606373815676
000279.OF,000279.OF,000279.OF,5382.912947,39.11077045,28.85419733,48.44574018,29.52610952,15.32287363,14.29072355,11.01549395,56.08950968,37.7884128,7.88192589,0.815245478,0.51205857,0.421619294,0.3957795,0.403100775,0.478036176,0.552540913,0.42118863,0.299310939,0.510335917,0.495262705,45,40.74,39.14,0.554048234,0.319767442,0.343238587,5.782688413,0.51464255,4.565970435246413,0.35228251507321273
000294.OF,000294.OF,000294.OF,4396.698307,47.91171105,22.34519437,70.34327046,47.43418182,20.50584778,18.07480463,16.94828384,81.38945155,31.56232515,12.18523166,0.692075797,0.726098191,0.304478898,0.685185185,0.909991387,0.841946598,0.856158484,0.875538329,0.944013781,0.239879414,0.838931955,49,52.23,66.53,0.624031008,0.607235142,0.822566753,2.097812802,0.25667528,10.66489324913558,0.6085271317829457
000308.OF,000308.OF,000308.OF,1697.999998,38.46494983,37.58967073,72.09843161,34.04607332,16.95155708,17.56004534,15.8899501,66.61284239,36.94602417,9.48228503,0.25538329,0.498277347,0.577088717,0.715331611,0.592161929,0.609388458,0.819982773,0.813953488,0.533591731,0.460378984,0.643841516,64,34.36,39.03,0.810723514,0.227820844,0.33957795,7.222523387,0.544788975,3.1972080341842437,0.26830318690783805
000309.OF,000309.OF,000309.OF,2135.272765,25.26165775,15.79496001,51.99619114,20.39920006,15.18569766,9.20455232,5.51865402,56.7941601,52.09603944,3.34680861,0.340654608,0.146425495,0.195521102,0.438845823,0.167527993,0.467700258,0.200258398,0.124892334,0.309646856,0.945736434,0.155900086,31,66.62,55.59,0.225452196,0.900947459,0.673557278,4.523479349,0.464685616,4.7534519826543375,0.3664944013781223
000326.OF,000326.OF,000326.OF,471.1338716,36.29206767,35.3670606,49.36053814,33.63708352,14.8565505,12.10994983,10.93040651,70.05215489,37.62175024,6.85768024,0.029715762,0.436692506,0.53875969,0.406115418,0.569767442,0.438415159,0.379414298,0.415159345,0.642549526,0.502583979,0.39836348,91,24.48,30.77,0.901378122,0.134797588,0.174849268,4.169959326,0.439707149,5.411588657303848,0.40353143841515937
000327.OF,000327.OF,000327.OF,476.9661989,36.62052299,36.90085387,49.86776768,33.96873271,14.98656832,12.06797504,11.04275929,69.39317009,37.50489915,6.90641354,0.031007752,0.448320413,0.566322136,0.410852713,0.584840655,0.451765719,0.375538329,0.423341947,0.618432386,0.495693368,0.404392765,98,24.57,30.71,0.911498708,0.136089578,0.173126615,4.404089894,0.455641688,5.132926342125205,0.38845822566752797
000328.OF,000328.OF,000328.OF,4843.886936,46.39661356,48.94361316,78.66164695,33.16090013,16.29012628,15.97637135,14.31732692,73.55800223,37.40821658,11.34583458,0.749354005,0.69250646,0.752799311,0.785529716,0.55081826,0.557278208,0.688630491,0.705426357,0.752368648,0.488802756,0.793712317,47,53.37,42.43,0.593238587,0.63910422,0.417312661,4.521014993,0.464254953,6.179397591747824,0.4470284237726098
000336.OF,000336.OF,000336.OF,1575.135375,51.90283468,42.06313654,92.60473559,29.55564774,12.20914572,8.66400014,9.15871269,58.12555294,34.70363996,8.35336101,0.226098191,0.810938846,0.655900086,0.909991387,0.405684755,0.287252369,0.176141258,0.281223084,0.333333333,0.348837209,0.541343669,24,53.58,45.44,0.092807924,0.644487511,0.478466839,0.798780201,0.065891473,81.72437200906536,0.9862187769164513
000339.OF,000339.OF,000339.OF,1711.931619,63.48010946,38.55097576,92.16444551,46.80376471,21.39528399,18.66879461,17.56390936,76.69637075,27.6542,15.17592636,0.258397933,0.93712317,0.598191214,0.906115418,0.904392765,0.88501292,0.881567614,0.902670112,0.838931955,0.153316107,0.951335056,53,48.79,79.1,0.691429802,0.511197244,0.911283376,6.795235916,0.537898363,-0.13452216689749436,0.06416881998277348
000354.OF,000354.OF,000354.OF,690.4656846,51.30389908,121.1559212,88.42958859,27.53200551,9.41605417,10.27282316,10.70798102,70.35714578,42.57525268,9.44260368,0.065030146,0.803186908,0.999138674,0.879844961,0.340223945,0.170111972,0.251937984,0.393195521,0.649870801,0.74332472,0.637812231,23,66.71,81.07,0.080534022,0.902239449,0.919896641,7.681439293,0.552540913,0.8921312502261026,0.12489233419465978
000362.OF,000362.OF,000362.OF,782.1708984,37.56155486,60.49912654,59.96835877,36.63888642,12.05627557,11.25756281,11.14544054,73.62457771,37.27105801,5.98239624,0.080964686,0.47329888,0.866925065,0.551679587,0.687769165,0.278639104,0.316106804,0.432816537,0.753660637,0.481481481,0.321705426,58,49.26,61.3,0.750861326,0.52411714,0.761843239,2.053944575,0.253229974,4.380277856329206,0.3415159345391904
000390.OF,000390.OF,000390.OF,1320.818761,32.76196382,29.1388725,40.73071148,15.96759102,5.9214425,4.9863486,4.39787233,41.88765449,52.17110203,4.91370785,0.181309216,0.32213609,0.424203273,0.300602929,0.125322997,0.08957795,0.070198105,0.096468562,0.159345392,0.946167097,0.250645995,50,43.12,55.45,0.638888889,0.373385013,0.672265289,2.325275322,0.2833764,14.171860402172195,0.7118863049095607
000398.OF,000398.OF,000398.OF,8189.889183,7.582230693,-1.9195884,2.74569657,4.57729775,8.61397665,3.73806212,1.202471,23.7011209,20.7541719,0.3471035,0.962101637,0.001722653,0.008613264,0.010766581,0.013781223,0.150301464,0.034883721,0.011197244,0.083118002,0.094745909,0.01335056,11,29.78,25.19,0.007751938,0.180878553,0.113264427,0.996110505,0.092161929,10.759812075267694,0.6119724375538329
000404.OF,000404.OF,000404.OF,1985.397671,51.42277737,53.7633324,77.356153,31.42903052,12.96098237,12.53466023,11.74965057,72.66540785,35.95789396,10.43271192,0.311369509,0.805770887,0.805340224,0.776485788,0.482342808,0.328596038,0.407407407,0.48664944,0.724806202,0.413867356,0.729543497,32,61.99,59.29,0.250430663,0.833333333,0.732988803,1.842161589,0.221360896,2.544754074774056,0.22739018087855298
000408.OF,000408.OF,000408.OF,3744.045352,26.40236105,31.00848543,44.50590934,32.4872964,15.84106244,17.33339168,12.94655296,64.06737269,46.73902891,7.84428001,0.592592593,0.172695952,0.46124031,0.347114556,0.52411714,0.52411714,0.801464255,0.591731266,0.468130922,0.862618432,0.491386736,35,60.98,42.54,0.322782084,0.814384152,0.419035314,1.309845832,0.138242894,39.48877198091508,0.9310938845822567
000409.OF,000409.OF,000409.OF,2814.461417,50.04299677,62.03345772,77.55223427,31.15195034,14.45531027,13.86275178,13.52107209,72.46729013,40.5743189,10.64945328,0.458656331,0.776055125,0.87166236,0.777777778,0.475021533,0.416451335,0.516365202,0.643410853,0.721360896,0.659345392,0.744186047,57,46.92,64.21,0.739233419,0.451335056,0.801894918,1.214277718,0.123600345,34.00943804521002,0.9082687338501292
000410.OF,000410.OF,000410.OF,3542.691908,42.80417108,25.72013441,68.69753289,30.73349878,15.28401481,13.60759094,11.27077772,64.90809952,46.79861674,8.09408543,0.565891473,0.608527132,0.372093023,0.666666667,0.457795004,0.475452196,0.490956072,0.443583118,0.492248062,0.864771748,0.516365202,42,37.32,43.13,0.486864772,0.267011197,0.431093885,4.73463525,0.472006891,5.559491724309702,0.4082687338501292
000411.OF,000411.OF,000411.OF,4861.133815,27.08493222,38.94872814,41.11926872,29.39885693,19.73814439,16.74436503,12.04049598,65.30205484,52.17432789,7.12963761,0.753660637,0.182601206,0.603359173,0.30620155,0.397932817,0.793281654,0.759259259,0.513781223,0.503014643,0.946597761,0.424633936,125,34.17,36.94,0.945090439,0.224806202,0.293712317,5.181541897,0.493109388,4.11958286438999,0.3268733850129199
000417.OF,000417.OF,000417.OF,1812.464844,25.77893039,14.17438696,14.77169999,10.73444515,5.71758921,5.09906469,3.75620428,20.5388596,18.01864893,1.92203986,0.28079242,0.157192076,0.170973299,0.089147287,0.076658053,0.083979328,0.073643411,0.073643411,0.066322136,0.080964686,0.075796727,25,23.19,13.89,0.105943152,0.124031008,0.059000861,1.730579173,0.207579673,14.63672761419509,0.7183462532299741
000418.OF,000418.OF,000418.OF,3207.449495,35.88635725,40.04695463,53.93966949,35.63534066,20.71571119,16.85241383,13.37765889,72.44600431,42.71453706,8.56535499,0.515073213,0.42248062,0.621447028,0.460809647,0.656761413,0.854435831,0.764857881,0.630060293,0.71920758,0.749354005,0.56416882,65,50.87,35.28,0.817398794,0.573428079,0.261843239,3.046895538,0.359173127,7.814296700709535,0.5189491817398794
