基金代码,总市值,一致预期PE,每股一致预期增速,静态pe,毛利率,净利率,roe,roic,经营现金流净额/净利润,资产负债率,静态pb,总市值排名,一致预期PE排名,每股一致预期增速排名,静态pe排名,毛利率排名,净利率排名,roe排名,roic排名,经营现金流净额/净利润排名,资产负债率排名,静态pb排名,股票个数,前十大股票占比,前三大行业占比,股票个数排名,前十大股票占比排名,前三大行业占比排名,换手率,换手率排名
004685.OF,47.74640521,48.54932756,4.42664834,25.37514734,17.20646841,0.53141187,-1.0349392,1.47206998,29.85105049,37.76428196,1.42093849,0.00035791,0.844667144,0.015032212,0.241947029,0.099141016,0.006800286,0.004294918,0.012526843,0.07337151,0.457050823,0.045096636,98,9.18,22.6,0.884216178,0.024695777,0.07444524,1.856823054,0.35254116
004686.OF,3107.044028,34.63071664,68.57029116,49.03758,35.41009071,22.65199918,19.10382166,14.39948669,73.40316774,46.6174747,8.01563465,0.688618468,0.38976378,0.776664281,0.614889048,0.737652112,0.924838941,0.92591267,0.798496779,0.767716535,0.876879026,0.619899785,60,34.52,34.01,0.679312813,0.258947745,0.190765927,1.258719102,0.201861131
004693.OF,2758.783972,28.11957325,51.13861814,28.68699432,31.4154106,14.1439283,14.60453041,12.58655101,64.86129018,38.20258807,5.70157643,0.630994989,0.190408017,0.553686471,0.2773801,0.563707946,0.417680744,0.647100931,0.61023622,0.419112384,0.482462419,0.329277022,47,49.05,33.71,0.484430923,0.61095204,0.187186829,1.284433155,0.210450966
004694.OF,1035.213936,29.08884988,36.31812678,46.76060925,27.50999374,12.97436587,11.8688066,9.5047485,66.76478503,40.50126345,5.57103403,0.214387974,0.220830351,0.318181818,0.581603436,0.355046528,0.330350752,0.365068003,0.267000716,0.484609878,0.615246958,0.319255548,52,36.39,32.49,0.566750179,0.292054402,0.165354331,1.429942357,0.247315676
004695.OF,6606.253455,33.02834748,47.86014468,40.6009468,26.57371508,18.87281431,15.03640215,11.91973972,60.93655188,40.77390842,6.84637716,0.960272011,0.337508948,0.504294918,0.478525412,0.311381532,0.773443092,0.694345025,0.515390122,0.312813171,0.634931997,0.46206156,32,55.68,48.79,0.202576951,0.760916249,0.523622047,1.233067517,0.196492484
004698.OF,604.8055531,45.36927491,72.6447383,67.60308312,32.89897682,17.74381606,15.1429526,14.34267797,79.50464056,38.2168657,9.09571573,0.095561918,0.764495347,0.810307802,0.880458125,0.641016464,0.700429492,0.701145311,0.794201861,0.938081603,0.483894059,0.761274159,27,62.55,78.04,0.111488905,0.877594846,0.915175376,0.948493024,0.126342162
004702.OF,731.4321429,11.51404192,26.19360059,12.64099623,9.56470827,15.33425022,5.69783187,3.1828534,36.20900858,70.92656373,1.57786681,0.12992126,0.010021475,0.176091625,0.105583393,0.050107373,0.51896922,0.080887616,0.048675734,0.091267001,0.996778812,0.058339298,45,48.2,78.78,0.445776664,0.590909091,0.917859699,2.578584917,0.5182534
004703.OF,603.2075315,29.80755522,23.54181557,34.8640869,19.74727672,7.76693422,8.73855677,8.13617738,51.93638804,31.62505857,4.11760658,0.095204009,0.238367931,0.150322119,0.375089477,0.128131711,0.100214746,0.151037938,0.181460272,0.181818182,0.214030064,0.202219041,47,45.54,32.76,0.484430923,0.522190408,0.170365068,4.448696072,0.762347888
004707.OF,2889.703425,34.59079049,7.18060837,10.02463688,5.02394339,2.80665146,2.72456356,2.20689835,12.27334297,9.23545078,1.34111746,0.656406586,0.38869005,0.026485326,0.081603436,0.014316392,0.022906228,0.028274875,0.026485326,0.015390122,0.013600573,0.040801718,55,8.06,9.83,0.614531138,0.017537581,0.025053686,0.103463321,0.002147459
004716.OF,4568.273071,25.21353644,35.2208952,29.09939656,30.95199024,21.18092509,16.31240135,11.71658385,64.23995666,49.20686369,5.57633678,0.85110952,0.125268432,0.303507516,0.282390838,0.540443808,0.885110952,0.801360057,0.494273443,0.399069435,0.931281317,0.319971367,186,24.36,31.65,0.966714388,0.132784538,0.151395848,0.736706112,0.079813887
004724.OF,527.0302175,42.35941651,63.50801289,32.83737873,18.44543833,8.20346106,7.87028603,7.48891727,38.54477137,18.09672394,4.80102464,0.071939871,0.680028633,0.726556908,0.338940587,0.113099499,0.108088762,0.122405154,0.150680029,0.097709377,0.061202577,0.25841088,30,17.84,29.51,0.161238368,0.079455977,0.12956335,3.252218322,0.622763064
004730.OF,4157.073614,28.49342113,57.92610742,35.38114778,29.16233709,18.70116933,17.36832765,12.99036401,65.84166103,48.9809737,6.66555118,0.811739442,0.202576951,0.649964209,0.386900501,0.450608447,0.764853257,0.858625626,0.654259127,0.454187545,0.928060129,0.438797423,213,21.16,30.05,0.969577666,0.101288475,0.134216178,2.557451738,0.514316392
004731.OF,2670.672638,30.95224028,5.44777837,6.15914266,5.8404416,3.01613412,2.78876714,2.0783604,14.70232815,10.25952788,1.11028958,0.616320687,0.267716535,0.017179671,0.045096636,0.022190408,0.026127416,0.029706514,0.025411596,0.025053686,0.020758769,0.031138153,92,5.75,5.9,0.868826056,0.007158196,0.005368647,0.487823712,0.03758053
004734.OF,3923.035388,28.886542,17.6250974,14.02350129,10.29484759,5.76172879,4.31010378,3.6704556,22.75719755,13.89015807,1.93183607,0.787401575,0.214030064,0.096277738,0.122763064,0.05619184,0.069792412,0.058339298,0.059413028,0.05547602,0.042949177,0.075518969,34,17.93,11.23,0.240694345,0.080529707,0.032927702,1.155549253,0.177165354
004737.OF,2813.637719,28.78159247,20.09557868,13.54815519,10.94341543,5.85665009,5.40603426,4.18986793,24.33541805,13.76087939,2.16350898,0.641374374,0.212240515,0.117394417,0.115604868,0.060844667,0.070150322,0.077308518,0.07337151,0.057623479,0.042591267,0.088761632,48,11.72,13.57,0.501610594,0.042591267,0.044738726,2.043444058,0.398353615
004745.OF,2843.758461,47.46080601,70.49426242,31.45524184,26.82474524,14.43197808,15.22653981,13.06881555,70.50053802,47.08295215,10.67057272,0.649606299,0.819971367,0.794917681,0.318539728,0.323908375,0.44380816,0.710093057,0.662491052,0.643163923,0.890121689,0.897637795,58,47.03,61.96,0.653364352,0.559413028,0.752684324,3.495142115,0.656048676
004750.OF,2974.9104,32.82518808,7.32709902,9.76915111,5.56556846,3.47822342,3.33693222,2.71818603,11.09557674,8.42198421,1.48151054,0.672512527,0.330708661,0.026843236,0.078382248,0.0182534,0.035433071,0.039727989,0.0365068,0.010379384,0.009305655,0.050465283,53,7.21,8.77,0.58285612,0.015032212,0.0182534,0.860359826,0.109878311
004763.OF,4212.774581,28.7055792,8.21130434,6.74741026,5.82576161,3.65391244,2.74035651,2.02851105,11.48811746,8.89633617,1.11872667,0.818539728,0.210808876,0.030780243,0.050823193,0.021474588,0.03686471,0.028632785,0.023979957,0.011811024,0.012168933,0.031496063,303,3.71,5.92,0.984251969,0.001789549,0.005726557,0.203396917,0.010379384
004769.OF,2435.107696,26.57115661,77.41195716,34.64707499,30.79469904,21.970991,18.12300413,13.60826189,63.51590883,48.96725617,6.46929695,0.565855404,0.150680029,0.849677881,0.369362921,0.531496063,0.908732999,0.894416607,0.717609162,0.376879026,0.927702219,0.411596278,126,18.47,31.13,0.930028633,0.085182534,0.143521832,2.486298671,0.498926271
004784.OF,1355.039601,39.28404139,56.32005571,52.2043862,26.91216525,12.03996003,11.53937097,10.55571471,65.51430031,44.89212223,7.41088594,0.303865426,0.558339298,0.62956335,0.66678597,0.331066571,0.265211167,0.329634932,0.355762348,0.443092341,0.823192555,0.547244094,95,25.14,48.17,0.876342162,0.139226915,0.511274159,2.598469553,0.522906228
