基金代码,基金代码,总市值,一致预期PE,每股一致预期增速,静态pe,毛利率,净利率,roe,roic,经营现金流净额/净利润,资产负债率,静态pb,总市值排名,一致预期PE排名,每股一致预期增速排名,静态pe排名,毛利率排名,净利率排名,roe排名,roic排名,经营现金流净额/净利润排名,资产负债率排名,静态pb排名,股票个数,前十大股票占比,前三大行业占比,股票个数排名,前十大股票占比排名,前三大行业占比排名,换手率,换手率排名,交易效率,交易效率排名
000001.OF,000001.OF,1566.413826,35.93916727,63.74224111,84.02076835,30.04585252,11.50762852,5.1067973,4.73658885,53.02129972,28.88323316,7.70669369,0.471465077,0.493611584,0.89011925,0.812180579,0.350936968,0.278534923,0.318143101,0.379045997,0.299403748,0.180153322,0.562180579,91,42.35,34.82,0.90225724,0.42653322,0.221039182,2.068039226,0.725298126,2.311039162078253,0.6073253833049403
000006.OF,000006.OF,694.1242771,34.21843096,46.57255995,61.07970609,35.46506346,16.47934763,7.55013041,6.5037367,67.60320121,39.70729473,7.06970044,0.163543441,0.430153322,0.741482112,0.572402044,0.561754685,0.606473595,0.727853492,0.689948893,0.623935264,0.666524702,0.499148211,209,7.52,33.06,0.980834753,0.011925043,0.182708688,2.138579197,0.738500852,5.8220937094432985,0.7257240204429302
000011.OF,000011.OF,650.576173,29.48060767,27.11682304,31.84412519,26.69462758,9.70706011,5.5397711,4.73689476,30.77694195,47.5975166,4.58717801,0.1439523,0.286626917,0.39011925,0.212947189,0.25681431,0.182282794,0.381601363,0.379471891,0.118398637,0.905451448,0.250851789,27,57.07,33.98,0.157155026,0.791524702,0.199744463,0.65748617,0.19846678,-82.01539849880037,0.031942078364565585
000017.OF,000017.OF,2353.396012,49.62176946,45.09751983,100.2540516,40.40802746,16.02039554,5.96356139,5.72726588,73.8001339,33.93463762,11.00196778,0.64693356,0.85306644,0.723168654,0.913543441,0.748296422,0.573679727,0.442930153,0.543867121,0.780238501,0.38032368,0.833901193,47,47.31,62.4,0.59092845,0.543015332,0.762350937,1.72653698,0.642674617,5.670741011293022,0.7240204429301533
000020.OF,000020.OF,1511.011819,32.63987417,31.85044436,55.6837588,32.99624201,13.45387537,7.10106693,6.37305518,70.72696683,34.09151748,7.87097143,0.454855196,0.379897785,0.486797274,0.508091993,0.458262351,0.398637138,0.64693356,0.669080068,0.702725724,0.38713799,0.578364566,53,34.65,36.88,0.688458262,0.258730835,0.26213799,1.598028603,0.598807496,3.150646828566183,0.6362862010221465
000021.OF,000021.OF,1976.917783,51.63843282,59.59043705,129.6540201,43.44975183,14.52044334,6.13817452,5.65685997,61.4463297,37.28564297,12.000254,0.573253833,0.883730835,0.86286201,0.984241908,0.826235094,0.468057922,0.47274276,0.533219761,0.458688245,0.55834753,0.896507666,109,38.87,52.0,0.926320273,0.344122658,0.580494037,1.492452733,0.557921635,-1.5702117448566477,0.4612436115843271
000029.OF,000029.OF,825.0390085,31.06269962,29.66260403,24.17001739,12.96265486,4.99028911,2.70060203,2.25603739,21.66954925,15.8501729,2.49572218,0.216780239,0.329642249,0.442078365,0.149488927,0.070272572,0.053662692,0.08560477,0.094548552,0.064735945,0.045144804,0.114991482,57,18.25,17.24,0.733177172,0.070698467,0.04471891,3.097705572,0.876064736,3.201591235669572,0.639267461669506
000030.OF,000030.OF,1174.157082,30.40796596,53.8548089,58.09036614,48.08846547,26.75447854,13.25451449,11.8869695,84.63923615,33.87930805,12.93034098,0.350936968,0.307495741,0.814310051,0.536626917,0.915247019,0.983390119,0.994463373,0.996166951,0.980408859,0.376916525,0.933560477,41,35.67,51.98,0.48253833,0.275979557,0.579642249,2.300759454,0.776831346,2.9317788864337313,0.6298977853492334
000031.OF,000031.OF,982.4788017,52.27277333,56.28875793,103.571164,36.89115687,12.69260957,5.26153716,5.24522055,63.73536303,35.40227014,11.10055351,0.276831346,0.891396934,0.833475298,0.928875639,0.625212947,0.351362862,0.343270869,0.458688245,0.511925043,0.457836457,0.839011925,33,55.5,57.3,0.30302385,0.753833049,0.693781942,1.161269369,0.436967632,20.7015628602187,0.9088586030664395
000039.OF,000039.OF,869.682664,30.98066515,54.99795234,76.31418674,39.21581137,14.53435722,6.55867402,7.49240078,66.95416407,36.31388682,8.3514414,0.232964225,0.326660988,0.823679727,0.74318569,0.715502555,0.469335605,0.547274276,0.82197615,0.59923339,0.50681431,0.634582624,40,57.95,72.9,0.463586031,0.812180579,0.879897785,2.888464258,0.851362862,14.358286842267031,0.8726575809199318
000056.OF,000056.OF,3741.886222,40.1936288,28.13245659,57.81801524,42.94196076,19.23749344,8.52391546,7.49238816,69.09939982,33.48236771,10.3696361,0.836882453,0.631601363,0.410136286,0.533219761,0.814310051,0.778960818,0.844974446,0.821550256,0.659284497,0.355621806,0.799829642,45,52.06,56.68,0.557282794,0.675042589,0.683560477,1.301398774,0.495741056,-1.8921796371693829,0.45357751277683134
000057.OF,000057.OF,2203.49384,40.18820714,24.35166287,57.50348116,50.8407021,18.3664867,8.01137028,7.62262364,67.46658384,25.62727775,10.59037938,0.618824532,0.631175468,0.344548552,0.530238501,0.948892675,0.731260647,0.792163543,0.838586031,0.61967632,0.122657581,0.813458262,41,49.9,51.34,0.48253833,0.621379898,0.566439523,0.96866409,0.347529813,8.803620241563822,0.7862010221465077
000058.OF,000058.OF,4837.469196,22.1195673,3.16029569,8.24517499,8.41877827,6.16086219,2.18839171,1.32064626,17.50982738,16.57262911,1.43691704,0.907155026,0.111158433,0.040034072,0.031942078,0.038756388,0.077938671,0.059199319,0.048977853,0.048126065,0.048126065,0.050255537,85,11.56,13.0,0.889267462,0.026405451,0.028109029,0.127892639,0.019165247,-43.00447174289678,0.07666098807495741
000061.OF,000061.OF,392.2811056,67.97682168,36.21734601,83.56805663,31.00414227,10.46678952,2.72909855,3.31909212,5.05307628,33.58383043,4.73709724,0.055792164,0.984241908,0.577512777,0.808773424,0.389693356,0.217632027,0.087734242,0.186115843,0.010647359,0.35988075,0.264480409,56,41.5,34.55,0.722529813,0.402044293,0.211669506,2.512680914,0.813458262,11.090557211117495,0.8347529812606473
000063.OF,000063.OF,973.3379229,44.95950547,56.89945527,105.2080584,35.40338428,16.5535174,6.64920343,6.26792675,62.16434348,39.8773494,12.07487455,0.272998296,0.767887564,0.839011925,0.936115843,0.559625213,0.613287905,0.564310051,0.65076661,0.472316865,0.676320273,0.902470187,67,46.43,84.38,0.817078365,0.525553663,0.950170358,3.998452603,0.932282794,5.052254265773524,0.704855195911414
000066.OF,000066.OF,6868.70169,22.35633934,5.27668973,20.82390538,18.19437257,16.83950664,5.88113977,3.00636964,37.71330978,43.82939157,3.72380036,0.974446337,0.115417376,0.068568995,0.120528109,0.118398637,0.632027257,0.422487223,0.15758092,0.153747871,0.822827939,0.18867121,57,41.63,46.06,0.733177172,0.405238501,0.453577513,0.090193615,0.011073254,-160.00489690983113,0.010221465076660987
