基金代码,基金代码,基金代码.1,总市值,一致预期PE,每股一致预期增速,静态pe,毛利率,净利率,roe,roic,经营现金流净额/净利润,资产负债率,静态pb,总市值排名,一致预期PE排名,每股一致预期增速排名,静态pe排名,毛利率排名,净利率排名,roe排名,roic排名,经营现金流净额/净利润排名,资产负债率排名,静态pb排名,股票个数,前十大股票占比,前三大行业占比,股票个数排名,前十大股票占比排名,前三大行业占比排名,换手率,换手率排名,交易效率,交易效率排名
000001.OF,000001.OF,000001.OF,3322.330395,68.48616263,30.98263441,70.01710945,40.96980633,19.99087112,8.88519302,8.65256774,65.8360006,24.76763455,13.83228225,0.539361702,0.840425532,0.275531915,0.64751773,0.737943262,0.65212766,0.641134752,0.75106383,0.364893617,0.109219858,0.819148936,50,30.27,62.44,0.588829787,0.163475177,0.7,1.025367172,0.476241135,21.00912539259644,0.7687943262411348
000006.OF,000006.OF,000006.OF,714.2046975,42.91081393,99.44105967,53.96926547,35.47570125,18.01044968,10.61375107,9.4208776,79.30483427,35.33461748,10.7890993,0.085106383,0.409929078,0.941134752,0.461702128,0.571276596,0.523049645,0.813475177,0.820212766,0.814893617,0.404609929,0.637234043,192,11.03,34.56,0.964184397,0.034751773,0.195390071,3.420043645,0.929078014,3.9723274291723256,0.34929078014184395
000011.OF,000011.OF,000011.OF,1242.83963,28.27599465,103.0190807,6.90368392,25.14077219,10.93505631,7.87238219,6.18217149,60.58087218,40.82935739,5.58536456,0.168085106,0.131205674,0.95106383,0.025177305,0.20141844,0.135460993,0.507446809,0.391134752,0.261347518,0.689361702,0.264539007,28,57.32,33.83,0.157801418,0.716312057,0.179078014,1.045184674,0.489716312,0.9275937392859244,0.21312056737588653
000017.OF,000017.OF,000017.OF,4960.368177,56.18290157,62.17901166,67.83142073,46.25226523,23.98095389,11.56382478,10.26093271,74.13773766,34.01588633,13.79026643,0.734397163,0.685106383,0.743617021,0.622340426,0.854964539,0.844680851,0.868794326,0.871276596,0.634751773,0.347163121,0.817021277,45,54.7,57.34,0.511170213,0.660638298,0.623758865,1.06664358,0.50035461,13.251889070574071,0.6354609929078014
000020.OF,000020.OF,000020.OF,4555.818516,61.21693596,33.91126096,74.79944057,44.51739986,21.58063154,8.98905297,8.49087337,72.30778618,29.99540976,13.65781697,0.691489362,0.756382979,0.325177305,0.693262411,0.824468085,0.736170213,0.657092199,0.734751773,0.568794326,0.209574468,0.813120567,46,42.45,49.99,0.52712766,0.351595745,0.485638298,0.992460126,0.457092199,13.426646734621556,0.6397163120567376
000021.OF,000021.OF,000021.OF,3170.259104,57.29006828,62.31472135,81.59989574,38.03667439,18.93948761,8.24553999,7.53406929,72.29685117,40.08066012,12.11084011,0.518085106,0.702836879,0.745035461,0.75070922,0.658865248,0.586170213,0.560992908,0.612765957,0.568085106,0.653191489,0.730141844,99,38.38,48.36,0.896631206,0.264007092,0.453191489,1.020719218,0.474468085,3.6654441535164666,0.3372340425531915
000029.OF,000029.OF,000029.OF,935.1909325,30.73560546,45.42700464,32.63099099,22.24904631,15.3871018,5.37958936,3.9552357,54.10572378,47.70801718,4.27674591,0.121985816,0.174468085,0.523049645,0.217730496,0.146808511,0.342907801,0.172695035,0.142553191,0.184751773,0.867375887,0.187234043,69,28.47,37.07,0.795567376,0.146453901,0.240248227,3.098267671,0.907092199,-3.577637065948651,0.09432624113475177
000030.OF,000030.OF,000030.OF,5176.813385,46.73149497,47.78343569,62.56146623,41.0631068,26.67543032,12.92054357,10.07571348,76.86414834,45.27156236,13.05630287,0.753191489,0.494680851,0.560283688,0.560992908,0.742553191,0.909929078,0.917375887,0.859929078,0.733687943,0.823049645,0.787234043,144,40.57,42.21,0.941312057,0.305851064,0.343617021,0.789731874,0.34858156,14.825011583615025,0.6656028368794327
000031.OF,000031.OF,000031.OF,2303.532281,62.16926251,64.08005503,94.51169318,42.31599954,20.00341374,8.49129877,8.31096324,75.23877838,35.59147327,13.7904736,0.371631206,0.769148936,0.763829787,0.842907801,0.774822695,0.653900709,0.597163121,0.713475177,0.669148936,0.418085106,0.817375887,27,67.69,43.76,0.140425532,0.884397163,0.374822695,0.622541815,0.253900709,12.727313329145607,0.6226950354609929
000039.OF,000039.OF,000039.OF,2184.305635,65.30674248,59.15077829,94.35612593,36.00256954,18.25698494,7.3630081,6.9287528,76.03564951,38.64853782,11.87201887,0.342907801,0.808510638,0.711347518,0.841489362,0.589716312,0.542907801,0.424822695,0.518794326,0.696453901,0.573049645,0.713475177,50,44.99,66.08,0.588829787,0.417730496,0.75070922,2.120115344,0.80035461,-3.5930978196816454,0.09397163120567376
000056.OF,000056.OF,000056.OF,7331.297502,44.55367016,20.1942905,35.05080566,30.58608566,15.28996246,6.79559489,6.1708934,48.70783185,21.10458355,7.51783642,0.891843972,0.446808511,0.126950355,0.240780142,0.373404255,0.335106383,0.339716312,0.387588652,0.142907801,0.079787234,0.386170213,30,39.92,41.34,0.196808511,0.290248227,0.325531915,0.988146145,0.455319149,2.8262204575012535,0.2925531914893617
000057.OF,000057.OF,000057.OF,5986.242886,51.55331229,43.22720159,59.88540222,40.83266423,20.49023413,12.18911541,9.78303736,78.52009966,34.80663941,12.19306666,0.818794326,0.59858156,0.482269504,0.532269504,0.734397163,0.674468085,0.895035461,0.842553191,0.791134752,0.385106383,0.736170213,31,56.99,51.88,0.220212766,0.708865248,0.524822695,0.709206888,0.303900709,19.674360678234134,0.750354609929078
000058.OF,000058.OF,000058.OF,4918.02372,30.17155579,14.89713174,15.23254827,10.34556683,7.98068429,2.72282036,1.83735658,24.82144004,17.00519373,2.1760444,0.730851064,0.161702128,0.085460993,0.084042553,0.057092199,0.079432624,0.057092199,0.054255319,0.065248227,0.062056738,0.084751773,57,13.1,14.56,0.689716312,0.04929078,0.04964539,0.367094239,0.103900709,11.119054390826328,0.5776595744680851
000061.OF,000061.OF,000061.OF,707.2728572,51.31142074,60.96723766,98.89682584,28.41432449,14.70925866,8.38771234,6.45642463,78.40555698,43.88145598,6.03806487,0.083687943,0.593262411,0.729787234,0.863829787,0.29751773,0.29787234,0.585106383,0.442553191,0.786524823,0.787234043,0.291134752,63,44.39,41.34,0.750531915,0.400886525,0.325531915,0.94166338,0.435106383,12.908763947048676,0.6276595744680851
000063.OF,000063.OF,000063.OF,1637.576131,86.73267881,81.68880316,129.0525426,39.48115456,20.77901495,7.86742194,8.25761982,72.48924937,28.24182616,17.90720567,0.234751773,0.936170213,0.892553191,0.959574468,0.69893617,0.69787234,0.506737589,0.707446809,0.575531915,0.175531915,0.926950355,74,43.67,83.51,0.82393617,0.387765957,0.905319149,3.109157563,0.908865248,4.200053939176964,0.36028368794326243
000066.OF,000066.OF,000066.OF,724.8143514,29.11147218,47.36941376,37.35916368,32.81115251,14.68881401,7.69285162,5.98416949,78.031154,39.3117771,5.68242945,0.086170213,0.144326241,0.554964539,0.267021277,0.469858156,0.296808511,0.474113475,0.356382979,0.769503546,0.613120567,0.270212766,30,56.96,57.95,0.196808511,0.707269504,0.632978723,9.88204724,0.99787234,1.285614431043744,0.22411347517730495
000072.OF,000072.OF,000072.OF,2565.107955,37.60489314,8.06399724,7.90278291,5.3476769,4.75660896,1.10178304,0.83180387,11.88948729,8.90562133,0.91142805,0.421276596,0.30248227,0.034751773,0.030141844,0.015957447,0.039361702,0.008865248,0.010638298,0.015957447,0.016666667,0.025177305,108,5.49,6.63,0.908510638,0.004964539,0.011702128,0.2543013,0.058156028,16.48266060771219,0.6925531914893617
000073.OF,000073.OF,000073.OF,3632.048603,62.73061458,54.49856714,88.26594038,40.55763898,19.77076949,9.92444372,9.46250406,78.27965075,35.66879751,16.89363755,0.582978723,0.777304965,0.659929078,0.804964539,0.727659574,0.638652482,0.758510638,0.821276596,0.782269504,0.422340426,0.909574468,35,57.62,54.68,0.310460993,0.724113475,0.576595745,1.588299883,0.691134752,16.019438817776454,0.6843971631205674
